primary_title,start_year,end_year,genres,average_rating,num_votes,show_id,normalized_title
Iru Dhuruvam,2019,\N,"Crime,Thriller",7.9,1792,36293e7f-3e56-4cb2-9d16-cc2a93dbaf10,irudhuruvam
The Trap Door,1984,1986,"Adventure,Animation,Comedy",7.9,1791,00899a01-a7a8-4d5d-ba6b-c6dc9b8f28bb,thetrapdoor
Who Rules the World,2022,\N,"Action,Drama,Fantasy",8.2,1791,6b5a7561-dc19-4378-b2ad-cd0e74bd3b4e,whorulestheworld
Stolichani v poveche,2011,\N,"Comedy,Drama",8.0,1790,d69b2185-fb54-47b8-8aeb-3bf0e69edc02,stolichanivpoveche
Ninja Scroll: The Series,2003,2003,"Action,Adventure,Animation",6.8,1790,c04630f9-977d-44a3-9d61-c14846498188,ninjascrolltheseries
Back to the Future,1991,1993,"Adventure,Animation,Family",6.3,1790,8ef42f39-4064-450e-a0c3-acde09733b96,backtothefuture
Drifters,2013,2016,Comedy,7.0,1790,8c7b41a8-55c5-41e5-910f-d50b207ddddb,drifters
I Feel Bad,2018,2018,Comedy,5.9,1789,898fd22c-72fe-46dc-a87e-dbed75e52720,ifeelbad
Casados con hijos,2005,2006,Comedy,7.6,1788,6ba9ded7-1c57-4546-a978-4f2d7d8c42e2,casadosconhijos
The Last Drive-In with Joe Bob Briggs,2018,\N,"Comedy,Fantasy,Horror",9.4,1787,35493bef-820c-44d6-80d9-001655887f07,thelastdriveinwithjoebobbriggs
Baghdad Central,2020,2020,"Crime,Drama,History",7.2,1787,369ba94d-a745-4d65-bd0c-45f89ff0dce7,baghdadcentral
Save Me,2017,2019,"Mystery,Thriller",7.9,1786,6d084149-194a-4c4a-b145-0d0ac634463d,saveme
Saat Kadam,2021,\N,"Drama,Sport",8.3,1786,6dfc6171-f098-4841-a20b-5d8aba3a7224,saatkadam
The Other One,2017,\N,Comedy,7.5,1784,d1e58772-e7f7-45ae-81e9-0c9be07b182e,theotherone
